Company,Website,Industry,Employees,Annual revenue,Total funding,Company phone,Company Address,Company country,Company founded date,Alter names,Managers,Addtional Contact Info,Company Social Urls,Category
Entretien Diuso,https://www.yellowpages.ca/bus/Quebec/Saint-Leonard/Entretien-Diuso/100902217.html,,1,,,(514) 909-5100,"4832, rue Jean-RivardSaint-Léonard, QC H1R 1T9",,,[],[],{},{},['Home Improvement']
The Home Depot,https://www.homedepot.com,Corporation,,,,(770) 433-8211,"2455 Paces Ferry Rd SE # B # 3Atlanta, GA 30339-1834",,1/1/1979,"['Home Depot Credit Services', 'Ohio Forge Company', 'Home Depot Expo Design Center', 'Expo Design Center', 'Home Depot Installed Products, LLC', 'At Home Services Roofing Installation', 'At Home Service', 'Home Depot Landscape Supply', 'The Home Depot At Home Services', 'Home Depot At Home Services', 'Home Depot Promotion', 'Home Depot The', 'Home Depot Corporate Office', 'Home Depot . com', 'Home Depot Online', 'Home Depot Tool Center 116', 'The Hampton Bay Fan & Lighting Company', 'The At-Home Services Inc.', 'Hampton Bay Fan & Lighting Co.', 'THD At Home Services', 'THD At-Home Services, Inc']","['Dr. Leonard Carl Medura, CEO', 'Mr. Todd Von Vital', 'Mr. Leonard C. Medura', 'Shirley Dickerson, Supervisor', 'Mr. Dedric Hudson, Manager']","{'Fax Numbers': ['(770) 384-5038'], 'Phone Numbers': ['(800) 553-3199', '(770) 888-8135']}",{},"['Building Materials', 'Tree Service', 'Home Improvement', 'Lumber Store', 'Retail Light Fixtures', 'Household Fans']"
RELLOCON INC.,http://rellocon.com,Corporation,5,,,(770) 433-8211,"9525 boulevard Henri Bourassa EstMontreal, QC H1E 1P8",,18/4/2017,['RELLOCON INC.'],"['Joseph Morello, President']",{'Phone Numbers': ['(514) 494-5383']},"{'Instagram': 'https://www.instagram.com/rellocon_mtl/', 'Facebook': 'https://www.facebook.com/Rellocon/'}","['Home Renovation', 'General Contractor', 'Landscape Contractors', 'Home Improvement', 'Bathroom Remodel', 'Kitchen Remodel', 'Flooring Contractors', 'Hardwood Floor Contractors', 'Basement Remodeling', 'Interlocking Pavers', 'Basement Contractors', 'Basement Finishing', 'Vinyl Flooring', 'Kitchen', 'Commercial Renovation', 'Commercial General Contractor']"
Van Den Oetelaar Roofing & Contracting,https://www.facebook.com/vandenoetelaarroofingandcontracting/,Corporation,8,,,(613) 930-0220,"P.o Box 74 County Rd 43Alexandria, ON K0C 1A0",,7/4/2015,[],"['Kevin Van De Oetelaar, Director']",{'Phone Numbers': ['(613) 551-1782']},{},"['Residential Roofing', 'Roofing Contractors', 'General Contractor', 'Construction Services', 'Home Improvement', 'Carpenter', 'Metal Roofing Contractors', 'Construction', 'Home Renovation', 'Commercial Roofing', 'Home Additions', 'Roofing Consultants', 'Tile Roofing Contractors', 'Roofing Materials', 'Finish Carpentry', 'Roof Leak Repair', 'Barn Construction', 'Shingles', 'Roof Structure', 'Sunroof', 'Roofing Equipment', 'Roof Snow Removal Service']"
Baumann Accurate Roofing,http://www.baumannaccurateroofing.ca,Sole Proprietorship,3,,,(613) 662-1426,"6601 Wine CrescentCornwall, ON K6H 7J2",,22/12/2009,[],"['Steven Baumann, Owner']",{},{},"['General Contractor', 'Roofing Contractors', 'Home Improvement', 'Metal Roofing Contractors', 'Home Renovation', 'Commercial Roofing', 'Flat Roofing Contractors', 'Roofing Consultants']"
Gilles Gregoire,,Sole Proprietorship,1,,,(613) 524-9571,"5431 County Road 10Fournier, ON K0B 1G0",,20/4/2017,[],"['Mr. Gilles Gregoire, Owner']",{'Phone Numbers': ['(613) 898-0488']},{},"['General Contractor', 'Home Improvement']"
Sunburst Pools,http://www.sunburstpoolscornwall.ca,Corporation,6,,,(613) 938-0163,"950 Carelton Street unit 17Cornwall, ON K6H 5J9",,24/1/2008,"['Sunburst Pools Sales & Service', '2272527 Ontario Inc.']","['Ms. Brenda Coughlan, Co-Owner', 'Brett Lauzon, Owner', 'Robert Upper, Owner']","{'Fax Numbers': ['(613) 935-7104'], 'Phone Numbers': ['(613) 361-1550', '(613) 360-9661']}",{},"['Pool Contractors', 'Home Improvement', 'Pool Service', 'Swimming Pools', 'Pool Maintenance', 'Above Ground Pools', 'Hot Tub Dealers', 'Outdoor Kitchens', 'Pool Supplies', 'Pool Leak Detection', 'Private Pool', 'Pool Cover Service', 'Saltwater Pool Supplies', 'Outdoor Living']"
Joe Cline Construction,https://www.facebook.com/JoeClineConstruction,,1,,,(613) 577-1442,"1958 County Road 2Summerstown, ON K0C 2E0",,1/1/2009,[],"['Mr. Joe Cline, Owner']",{},{},"['General Contractor', 'Roofing Contractors', 'Home Builders', 'Home Improvement', 'Bathroom Remodel', 'Kitchen Remodel', 'Bathroom Design', 'Basement Remodeling', 'Home Additions']"
Meldy Construction-Renovation,http://www.meldyconstruction.ca,Corporation,1,,,(613) 612-9789,"445 Denis StreetWendover, ON K0A 3K0",,1/6/1992,"['Meldy Reno Inc', '6400432 Ontario Inc', '6189679 Canada Inc.']","['Mr. Yves Perreault, Owner']",{'Website Addresses': ['http://www.meldyrenovation.ca']},{},"['Home Improvement', 'Painting Contractors', 'Bathroom Remodel', 'Kitchen Remodel', 'Flooring Contractors', 'Home Repair', 'Home Additions', 'Basement Finishing']"
Rozon Enterprise,https://www.rozonenterprise.ca,Sole Proprietorship,10,,,(613) 809-7796,"673 rue Principale PO 56Casselman, ON K0A 1M0",,4/4/2009,['Rozon Enterprise Incorporated'],"['Mr. Mathieu Rozon, Owner']",{},"{'Facebook': 'https://www.facebook.com/rozonenterprise/reviews/', 'LinkedIn': 'https://www.linkedin.com/in/mathieu-rozon-b752a8a3'}","['Roofing Contractors', 'General Contractor', 'Construction Services', 'Home Improvement', 'Siding Contractors', 'Metal Roofing Contractors', 'Construction', 'Commercial Roofing', 'Flat Roofing Contractors', 'Soffit and Fascia', 'Roofing Consultants', 'Tile Roofing Contractors', 'Shingles', 'Roof Snow Removal Service']"
