Company,Website,Industry,Employees,Annual revenue,Total funding,Company phone,Company Address,Company country,Company founded date,Alter names,Managers,Addtional Contact Info,Company Social Urls,Category
"Restaurant-Bar Coup D'Etat, Vins, Scotchs, Revolution Inc.",,,,,,,"Montréal, QC H2H 1M5",,,[],['General Manager'],{},{},['Foods']
Evripos Janitorial Services Ltd.,http://www.evripos.ca,,550,,,(613) 232-9069,"412 Maclaren StreetOttawa, ON K2P 0M8",,15/4/1968,[],['Mr. Dimitri Sigounas'],{},{},"['Commercial Cleaning Services', 'Cleaning Services', 'Janitor Service', 'Exterior Building Cleaning', 'Industrial Steam Cleaning', 'Office Services']"
Smile Chez Clara,https://www.smilechezclara-montreal.com,,,,,(514) 439-9416,"5486 Boulevard Saint-LaurentMontréal, QC H2T 1S1",,,[],['General Manager'],{},{},['Restaurants']
Copper Branch,https://eatcopperbranch.com/,,,,,,"1251 Avenue du Mont-Royal EMontréal, QC H2J 1Y4",,,[],['General Manager'],{'Website Addresses': ['https://eatcopperbranch.com/locations/']},"{'Facebook': 'https://www.facebook.com/CopperBranch/', 'LinkedIn': 'https://www.linkedin.com/company/copper-branch/?originalSubdomain=ca', 'Instagram': 'https://www.instagram.com/copperbranch/'}",['Restaurants']
L'Gros Luxe Mile-End,http://www.lgrosluxe.com/,,,,,,"150 Rue Bernard OuestMontréal, QC H2T 2K2",,,[],['General Manager'],{},"{'Facebook': 'https://www.facebook.com/lgrosluxe/', 'Instagram': 'https://www.instagram.com/lgrosluxe/'}",['Restaurants']
kòi bubble tea,https://www.koibubbletea.ca/,,,,,,"2499 R. Jean-TalonMontréal, QC H2E 1W3",,,[],['General Manager'],{'Website Addresses': ['https://www.koibubbletea.com/']},{},"['Foods', 'Restaurants']"
Le Boudoir café-bar Inc,https://leboudoircafebar.com/,,,,,(514) 526-2819,"850 Avenue du Mont-Royal EMontreal, QC H2J 1X1",,,[],['Directeur Général'],{},{},['Restaurants']
"Restaurant-Bar Coup D'Etat, Vins, Scotchs, Revolution Inc.",,,,,,,"Montréal, QC H2H 1M5",,,[],['General Manager'],{},{},['Foods']
Restaurant Joon,https://www.restojoon.ca/,,,,,,"7130 St Laurent BlvdMontréal, QC H2S 3E2",,,[],['General Manager'],{},"{'Facebook': 'https://www.facebook.com/resto.joon/', 'Instagram': 'https://www.instagram.com/resto.joon/'}","['Foods', 'Restaurants']"
Dial Cleaning Services,https://dialcleaningservices.com,,1,,,(514) 629-0841,"6780 boulevard Pie-IXMontreal, QC H1X 2C8",,,[],"['Responsable Général, General Manager']",{},{},['Cleaning Services']
PFK,https://www.kfc.ca/,,,,,(514) 525-1363,"3090 rue HochelgaMontreal, QC H1W 1G2",,,[],['General Manager'],{},{},['Fast Food Restaurants']
A&W,https://web.aw.ca/,,,,,(514) 382-8884,"8400 avenue Christophe-ColombMontreal, QC H2P 1X3",,,[],['General Manager'],{},{},['Fast Food Restaurants']
Bombay Mahal Express,https://www.restoloco.com/restaurant/bombay-mahal-express,,,,,(438) 386-3331,"3681 Boulevard Saint-LaurentMontréal, QC H2X 2V5",,,[],['General Manager'],{},{},['Restaurants']
Shaker St-Laurent,https://www.shakercuisineetmixologie.com/,,,,,,"3518, boul. St-LaurentMontréal, QC H2X 2V1",,,[],['General Manager'],{},"{'Facebook': 'https://fr-ca.facebook.com/shakerstefoy/', 'Snapchat': 'https://www.snapchat.com/add/shaker_scm', 'YouTube': 'https://www.youtube.com/channel/UCruYxQHXdS8IVBYm2W2GNdg'}",['Restaurants']
Copper Branch,https://eatcopperbranch.com/,,,,,,"1732 St Denis StMontréal, QC H2X 3K6",,,[],['General Manager'],{'Website Addresses': ['https://eatcopperbranch.com/locations/']},"{'Facebook': 'https://www.facebook.com/CopperBranch/', 'Instagram': 'https://www.instagram.com/copperbranch/', 'LinkedIn': 'https://www.linkedin.com/company/copper-branch/?originalSubdomain=ca'}",['Restaurants']
Chiki Churros,https://www.chikichurros.ca/villeray-saint-michel/,,,,,,"8521, boul. St-MichelMontréal, QC H1Z 3E7",,,[],['General Manager'],{},"{'Facebook': 'https://www.facebook.com/Chiki-Churros-104163564827964', 'Twitter': 'https://www.chikichurros.ca/', 'Instagram': 'https://www.instagram.com/chiki_churros/'}","['Foods', 'Restaurants']"
le central,https://lecentral.ca/,,,,,,"30 rue Sainte-Catherine OuestMontréal, QC H2X 0C8",,,[],['General Manager'],{},"{'Facebook': 'https://www.facebook.com/lecentralmtl/', 'Instagram': 'https://www.instagram.com/lecentralmtl/'}","['Foods', 'Restaurants']"
Copper Branch,https://eatcopperbranch.com/,,,,,,"150 Rue Sainte-Catherine OMontréal, QC H2X 3Y2",,,[],['General Manager'],{'Website Addresses': ['https://eatcopperbranch.com/locations/']},"{'Facebook': 'https://www.facebook.com/CopperBranch/', 'Instagram': 'https://www.instagram.com/copperbranch/', 'LinkedIn': 'https://www.linkedin.com/company/copper-branch/?originalSubdomain=ca'}",['Restaurants']
PRO-SEC,https://nettoyage-tapis-pro-sec.ca/,Corporation,5,,,(450) 462-7747,"3350 1ère rue, suite 103Saint-Hubert, QC J3Y 8Y5",,15/12/1995,"['3091-7488 Quebec Inc', 'PRO-SEC']","['Patrick Sevigny, President']","{'Phone Numbers': ['(514) 725-7747'], 'Website Addresses': ['https://www.facebook.com/NettoyageProSec']}","{'Twitter': 'https://twitter.com/ProSecMontreal', 'YouTube': 'https://www.youtube.com/channel/UCMdPhgB47-KVYmmysyPI_gg'}","['Cleaning Systems', 'Cleaning Services', 'Carpet and Rug Cleaners', 'Commercial Cleaning Services', 'Carpet Cleaning', 'Cleaning Supplies', 'Furniture Cleaning', 'Carpet and Rug Cleaning Equipment and Supplies', 'Mobile Dry Cleaning', 'Disinfecting Services']"
Sésame,https://sesamerestaurant.ca,,,,,,"305 Ste-Catherine OuestMontréal, QC H2X 2A3",,,[],['General Manager'],{'Website Addresses': ['https://sesamerestaurant.ca/fr/restaurants/quartier-des-spectacles/']},"{'Instagram': 'https://www.instagram.com/sesamerestaurant/', 'Facebook': 'https://www.facebook.com/Sesamerestaurant'}",['Restaurants']
Impression Dumplings,https://tmredirect.com/r/impression-dumplings-607882de-2d04-480d-b830-1b9dc063c861,,,,,(514) 419-2888,"368 Rue Sainte-Catherine OuestMontréal, QC H3B 1A1",,,[],[],{},{},['Restaurants']
Maison Istanbul,http://maisonistanbul.ca,,1,,,(514) 376-1376,"5106 rue Jean-TalonMontréal, QC H1S 1K7",,,[],['General Manager'],{},{},['Restaurants']
Copper Branch,https://eatcopperbranch.com/,,,,,,"444 Rene-Levesque OMontréal, QC H2Z 1Z6",,,[],['General Manager'],{'Website Addresses': ['https://eatcopperbranch.com/locations/']},"{'Facebook': 'https://www.facebook.com/CopperBranch/', 'Instagram': 'https://www.instagram.com/copperbranch/', 'LinkedIn': 'https://www.linkedin.com/company/copper-branch/?originalSubdomain=ca'}",['Restaurants']
Renoir,https://restaurant-renoir.com/?y_source=1_mtu2mzc2mzctotiwlwxvy2f0aw9ulndlynnpdgu%3d,,,,,(514) 788-3038,"1155 Rue Sherbrooke OuestMontréal, QC H3A 2N3",,,[],[],{},{},['Restaurants']
Souvlaki Bar (Rockland),https://souvlakibar.ca/,,,,,,"2305 chemin RocklandMount Royal, QC H3P 3E9",,,[],['General Manager'],{},{'Facebook': 'https://souvlakibar.ca/restaurants/'},"['Foods', 'Restaurants']"
Copper Branch,https://eatcopperbranch.com/,,,,,,"1180 Boulevard de Maisonneuve OMontréal, QC H3A 1N5",,,[],['General Manager'],{'Website Addresses': ['https://eatcopperbranch.com/locations/']},"{'Facebook': 'https://www.facebook.com/CopperBranch/', 'Instagram': 'https://www.instagram.com/copperbranch/', 'LinkedIn': 'https://www.linkedin.com/company/copper-branch/?originalSubdomain=ca'}",['Restaurants']
Montreal Lux Cleaning,https://www.montrealluxcleaning.com/,,1,,,(514) 500-7367,"220 rue Beauharnois Ouest, #102Montreal, QC H4N 1J5",,,[],[],{},{},['Cleaning Services']
Good Karma,https://www.goodkarmaecocleaning.com,,1,,,(514) 616-4819,"6320 Rue LemayMontreal, QC H1T 2L6",,,[],['General Manager'],{},{},['Cleaning Services']
Bar George,https://www.bargeorge.ca/,,,,,(514) 669-9243,"Le Mount Stephen, 1440 Drummond St, Montreal, Quebec H3G 1V9, CanadaMontreal, QC H3G 1V9",,,[],['General Manager'],{},{},['Restaurants']
Teriyaki Experience,https://www.teriyakiexperience.com/locations/montreal-eaton-centre/,,,,,,"705 rue Ste. Catherine ouestMontréal, QC H3B 4G5",,,[],['General Manager'],{'Website Addresses': ['https://www.teriyakiexperience.com/']},"{'Facebook': 'https://www.facebook.com/TeriyakiExperience/', 'Twitter': 'https://twitter.com/Teriyaki_Exp', 'Instagram': 'https://www.instagram.com/teriyakiexperience/'}","['Restaurants', 'Foods']"
Aqua E Farina,https://aquafarina.ca/,,,,,(438) 380-7787,"121 Rue de la Commune OuestMontréal, QC H2Y 2C7",,,[],[],{},{},['Restaurants']
Marché Artisans,,,,,,(514) 954-2882,"900 Rene Levesque Blvd WMontreal, QC H3B 4A5",,,[],[],{},{},['Restaurants']
Krema Café,,,,,,(514) 861-3511,"900 Rene Levesque Blvd WMontreal, QC H3B 4A5",,,[],[],{},{},['Restaurants']
Seproli Inc.,http://seproli.ca,,1,,,(514) 652-8629,"442 rue Saint-Gabriel, Bureau 100Montreal, QC H2Y 2Z9",,,[],"['Responsable Général LMBT, General Manager']",{},{},['Cleaning Services']
Nevski,https://www.nevskimtl.com/,,,,,,"1228 Stanley StMontréal, QC H3B 2S7",,,[],['General Manager'],{'Website Addresses': ['https://www.nevskiportal.ca/']},{},"['Restaurants', 'Foods']"
Sprint Cleaning,https://www.sprintcleaning.net,,,,,(347) 384-5658,"1745 Cedar AvenueMontreal, QC H3G 1A7",,,[],['General Manager'],{},{},['Cleaning Services']
Sésame,https://sesamerestaurant.ca,,,,,,"380, St-Jacques OuestMontréal, QC H2Y 0A2",,,[],['General Manager'],{'Website Addresses': ['https://sesamerestaurant.ca/fr/restaurants/vieux-montreal/']},"{'Facebook': 'https://www.facebook.com/Sesamerestaurant', 'Instagram': 'https://www.instagram.com/sesamerestaurant/'}",['Restaurants']
Souvlaki Bar (Gare Centrale),https://souvlakibar.ca/,,,,,,"895 Rue de la Gauchetière OMontréal, QC H3B 2M9",,,[],['General Manager'],{},{},"['Foods', 'Restaurants']"
Sésame,https://sesamerestaurant.ca,,,,,,"5600 Bd des GaleriesQuébec City, QC G2K 2H6",,,[],['General Manager'],{'Website Addresses': ['https://sesamerestaurant.ca/fr/restaurants/lebourgneuf/']},"{'Facebook': 'https://www.facebook.com/Sesamerestaurant', 'Instagram': 'https://www.instagram.com/sesamerestaurant/'}",['Restaurants']
Lavoute Nightclubs Inc.,https://lavoutemontreal.com/en/home/,Corporation,250,,,(514) 820-1982,"360 rue St JacquesMontreal, QC H2Y 1P5",,13/4/2021,['La Voute Nightclubs Inc.'],"['James Campbell, President']",{},{},"['Night Club', 'Adult Entertainment', 'Restaurants', 'Entertainment', 'Brew Pub', 'Pub Food']"
