Company,Website,Industry,Employees,Annual revenue,Total funding,Company phone,Company Address,Company country,Company founded date,Alter names,Managers,Addtional Contact Info,Company Social Urls,Category
FMG General Contracting Co Inc.,,,,,,(212) 974-8106,"65 West 55th StreetNEw York, NY 10019",,,[],"['Mr. Francis McGarrell, Owner']",{},{},['Home Improvement']
Sebly Construction Inc.,,,,,,(212) 223-7110,"510 Madison Avenue Room 304New York, NY 10022",,,[],"['Mr. Bruce Selby, Owner']",{},{},['Home Improvement']
"J.F. Hughes Builders, Inc.",,Corporation,,,,(917) 841-0289,"1 Rockefeller Plz Fl 11New York, NY 10020-2073",,10/5/2009,[],"['Mr. Brian Hughes, President']",{},{'Facebook': 'https://www.facebook.com/pages/category/Contractor/JF-Hughes-Builders-167056340316649/'},"['Home Builders', 'General Contractor', 'Home Improvement']"
"Vacant Home Solutions, LLC",http://www.vhomesolutions.com,Limited Liability Company (LLC),,,,(855) 822-2687,"1776 Broadway Suite 1400New York, NY 10019-2013",,2/1/2010,"['DHC Services, LLC']",[],"{'Fax Numbers': ['(212) 504-2697', '(917) 591-2269'], 'Phone Numbers': ['(917) 836-4460']}",{},"['Construction Management', 'Construction Services', 'Home Improvement']"
The Aragona Management Group I,,,,,,(212) 977-8828,"1780 BroadwayNew York, NY 10019",,1/1/1979,['Aragona Management Group Inc.'],"['Mr. Joel Aragona, Owner']",{'Fax Numbers': ['(212) 977-8499']},{},['Home Improvement']
SJ Kim's Tae Kwon,,,,,,(212) 397-6040,"1628 Broadway, Floor 2New York, NY 10019-7584",,,[],"['Mr. SJ Kim, Unknown']",{},{},['Home Improvement']
CSI Contracting,,,,,,(212) 768-8400,"5 West 46th StreetNew York, NY 10036",,,['C.S.I. Contracting'],"['Mr. Jeff Clevenger, Unknown']",{},{},['Home Improvement']
Michael Carpenter Building and Design,,Sole Proprietorship,,,,(917) 685-4102,"36 East 60th StreetNew York, NY 10022-1024",,1/1/2006,[],[],{},{},"['General Contractor', 'Home Improvement']"
Liberty Management & Construction Ltd.,,Corporation,,,,(212) 754-2400,"502 Park Ave.New York, NY 10022",,5/1/1987,['Liberty Fabrications Ltd.'],"['Mr. Allyn Ehrlich, President']",{'Phone Numbers': ['(212) 759-6181']},{},['Home Improvement']
Aames Building Construction Inc.,,,,,,(212) 888-3366,"123 East 54th Street Room 9FNew York, NY 10022",,,[],"['Mr. Raymond Cyrille, Owner']",{},{},['Home Improvement']
Painting & Damproofing,,,,,,(212) 586-3700,"250 West 54th Street, Ste. 800New York, NY 10019",,,['Masterpiece Painting & Waterproofing'],[],{},{},['Home Improvement']
