Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
3DMedical OÜ,3dmedicalou@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Väike-Paala tn 2, 11415
                            ",,,,,,,
Abbott Medical Estonia OÜ,mika.mustonen@abbott.com,,"Mõisa 4/Vabaõhumuuseumi tee 3, Tallinn city, Harju county, 13522
                            ",,,,,,,
AB Medical Group Eesti osaühing,info@abmedical.ee,,"Harju maakond, Rae vald, Peetri alevik, Reti tee 12, 75312
                            ",,,,,,,
AB Medical Teeninduse osaühing,service@abmedical.ee,,"Harju maakond, Rae vald, Peetri alevik, Reti tee 12-11, 75312
                            ",,,,,,,
Akacia Medical OÜ,info@attest.ee,,"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 12/3-4, 11912
                            ",,,,,,,
AKR MEDICAL OÜ,alorull@gmail.com,+372 5276996,"Tartu maakond, Tartu linn, Tartu linn, Puhkekodu tn 2, 50417
                            ",,,,,,,
ALPIMEDICAL OÜ,aleksandrtshailo@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Punane tn 5-2, 13620
                            ",,,,,,,
Ambre Medical OÜ,,,,,,,,,,
OÜ A-MEDICAL,,,,,,,,,,
AnkaMedical OÜ,info@ankamedical.ee,+372 56473315,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Alle tn 3-2, 10150
                            ",,,,,,,
ANNE MEDICAL OÜ,info@tartutervisekeskus.ee,+372 6001004,"Tartu maakond, Tartu linn, Tartu linn, Mõisavahe tn 34b, 50708
                            ",,,,,,,
APMedicals OÜ,arvi.lossmann@gmail.com,,"Tartu maakond, Tartu vald, Vasula alevik, Lao, 60535
                            ",,,,,,,
Apricot Medical OÜ,,,,,,,,,,
Arbor Medical Korporācija EE OÜ,dace.ratfeldere@arbor.lv,,"Harju maakond, Rae vald, Peetri alevik, Treiali tee 2, 75312
                            ",,,,,,,
Artfxmedical OÜ,askin@globalestonia.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Astra Medical OÜ,kairit@seezre.ee,,"Hiiu maakond, Hiiumaa vald, Kärdla linn, Vabaduse tn 28-7, 92412
                            ",,,,,,,
Azizi Medical Consulting OÜ,,,,,,,,,,
Atnover Medical OÜ,elias.revonta@gmail.com,+358 401686766,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 15, 10141
                            ",,,,,,,
Autolivonia OÜ,livoniahaus@gmail.com,+372 5534118,"Tartu maakond, Tartu linn, Tartu linn, Pikk tn 20, 51009
                            ",,,,,,,
Avicenna Medical OÜ,ivar.lindstrom@avicennamedical.eu,,"Harju maakond, Kiili vald, Luige alevik, Tamme tn 20, 75404
                            ",,,,,,,
Avicenna Medical OÜ,,,,,,,,,,
OÜ BALTIC EUROMEDICAL,ylle@bemed.ee,+372 5651342,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paldiski mnt 68a, 10617
                            ",,,,,,,
Baltic Medical Consultings Osaühing,,,,,,,,,,
OÜ Baltic Medical Group,indrekr@icloud.com,+372 5092080,"Harju maakond, Tallinn, Kesklinna linnaosa, Lai tn 15-8, 10133
                            ",,,,,,,
Osaühing Baltic Medical Partners,meeliseelmae@gmail.com,+372 55669365,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 32, 10115
                            ",,,,,,,
Osaühing Baltic Medical Technology,,,,,,,,,,
BALTICS MEDICAL OÜ,indre.leikauske@gmail.com,+370 65097779,"Harju maakond, Tallinn, Lasnamäe linnaosa, Pae tn 25-47, 11414
                            ",,,,,,,
Base Medical OÜ,info@xolo.io,+1 5052344601,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
Osaühing B.Braun Medical,info@bbraun.ee,,"Harju maakond, Tallinn, Mustamäe linnaosa, Pilvetee tn 8, 12618
                            ",,,,,,,
Binyapi Medical OÜ,magismaa@gmail.com,+372 55951615,"Harju maakond, Tallinn, Nõmme linnaosa, Liivalao tn 11, 11216
                            ",,,,,,,
Bracco Imaging Baltics OÜ,customerservicesse@bracco.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 13, 10145
                            ",,,,,,,
Brecuro Medical OÜ,info@brecuromedical.ee,+372 53012572,"Harju maakond, Kiili vald, Kangru alevik, Kasteheina tn 32, 75403
                            ",,,,,,,
Btl Medical Equipment OÜ,sergeyevam@btlnet.com,+372 56875596,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 10151
                            ",,,,,,,
BV Medical OÜ,alexalge2010@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 10-24, 10124
                            ",,,,,,,
Cardiotech OÜ,info@larssen.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 13, 10151
                            ",,,,,,,
OÜ CBF Medical Health,,,,,,,,,,
Osaühing CBF Medical,c@cc.ee,+372 5023360,"Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 67a, 10134
                            ",,,,,,,
OÜ Celsius Healthcare,merle@celsius.ee,+372 5094522,"Harju maakond, Tallinn, Kesklinna linnaosa, Olevimägi 16, 10123
                            ",,,,,,,
Compotexa OÜ,,,,,,,,,,
Cormedical OÜ,cormedicalee@gmail.com,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe/1, 74626
                            ",,,,,,,
Cornerstone Medical OÜ,cornerstone.eu@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, J. Vilmsi tn 14-10, 10126
                            ",,,,,,,
osaühing Correctio Medical Centre,irinapeterson1@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 71-40, 13415
                            ",,,,,,,
Cranfeld Medical City OÜ,oksana.jalakas@cranfeld.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Veerenni tn 53a, 10138
                            ",,,,,,,
CSI Medical OÜ,csimedical@icloud.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Laki tn 30-302/3, 12915
                            ",,,,,,,
Cutis Medical Group OÜ,info@cutismedical.com,,"Harju maakond, Tallinn, Pirita linnaosa, Udeselja tn 8-4, 11913
                            ",,,,,,,
Cutis Medical OÜ,,,,,,,,,,
OÜ Dating Ventures,,,,,,,,,,
DAY medical OÜ,,,,,,,,,,
Dead Sea Medical SPA OÜ,,,,,,,,,,
Dech Medical Recruitment OÜ,,,,,,,,,,
OÜ Delta Medical Solutions,,,,,,,,,,
De Lux Pesulad OÜ,,,,,,,,,,
DK Medical OÜ,Jana.Jaal@gmail.com,+372 5513443,"Tartu maakond, Tartu linn, Tartu linn, Nelgi tn 5, 50412
                            ",,,,,,,
